Code,Dataset,BIOME,Species,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Pmass,log Parea,log Amass,log Aarea,log Gs,log Rdmass,log Rdarea,Ca - Ci,,,,
70,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Meterosideros polymorpha gl,T,,,C3,N,,2.20,-0.108,0.089,-1.398,-1.201,1.46,0.66,2.48,,,,,,,
71,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.56,-0.229,0.331,-1.699,-1.139,1.27,0.79,2.27,,,,,,,
72,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Betula papyrifera,T,D,B,C3,N,,2.00,0.402,0.398,,,2.29,1.29,,,,,,,,
73,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Prunus serotina,T,D,B,C3,N,,1.75,0.428,0.176,,,2.52,1.27,,,,,,,,
74,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Fraxinus americana,T,D,B,C3,N,,1.96,0.358,0.322,,,2.00,0.96,,,,,,,,
75,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Quercus rubra,T,D,B,C3,N,,2.04,0.406,0.447,,,2.33,1.37,,,,,,,,
76,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Quercus alba,T,D,B,C3,N,,2.00,0.527,0.531,,,2.36,1.36,,,,,,,,
77,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Castanea dentata,T,,B,C3,N,,1.76,0.413,0.176,,,2.34,1.10,,,,,,,,
78,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Ulmus americana,T,D,B,C3,N,,1.81,0.301,0.114,,,2.30,1.11,,,,,,,,
79,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer rubrum,T,D,B,C3,N,,2.02,0.234,0.255,,,2.09,1.11,,,,,,,,
80,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer saccharum,T,D,B,C3,N,,2.01,0.222,0.230,,,1.83,0.84,,,,,,,,
81,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer pensylvanicum,T,D,B,C3,N,,1.77,0.405,0.176,,,2.23,1.00,,,,,,,,
85,Bongers_et_al_Los_Tuxtlas,TROP_RF,Acalypha skutchii,T,E,,,N,,1.41,0.412,-0.174,-0.672,-1.259,,,,,,,,,,
86,Bongers_et_al_Los_Tuxtlas,TROP_RF,Aegiphila costaricensis,T,D,,,N,,1.63,0.191,-0.175,-0.674,-1.039,,,,,,,,,,
89,Bongers_et_al_Los_Tuxtlas,TROP_RF,Allophylus camptostachys,T,E,,,N,,2.03,0.053,0.084,-0.892,-0.860,,,,,,,,,,
92,Bongers_et_al_Los_Tuxtlas,TROP_RF,Amphitecna tuxtlensis,T,E,,,N,,1.93,0.154,0.086,-0.954,-1.022,,,,,,,,,,
99,Bongers_et_al_Los_Tuxtlas,TROP_RF,Astrocaryum mexicanum,T,E,,,N,,1.87,0.222,0.096,-0.798,-0.925,,,,,,,,,,
100,Bongers_et_al_Los_Tuxtlas,TROP_RF,Bactris trichophylla,S,E,,,N,,1.74,0.187,-0.074,-0.969,-1.230,,,,,,,,,,
102,Bongers_et_al_Los_Tuxtlas,TROP_RF,Brosimum alicastrum,T,D,,,N,,1.80,0.329,0.132,-0.885,-1.082,,,,,,,,,,
104,Bongers_et_al_Los_Tuxtlas,TROP_RF,Bursera simaruba,T,D,B,C3,N,,1.93,0.180,0.109,-0.997,-1.068,,,,,,,,,,
109,Bongers_et_al_Los_Tuxtlas,TROP_RF,Capparis baducca,T,E,,,N,,1.75,0.213,-0.038,-0.999,-1.250,,,,,,,,,,
113,Bongers_et_al_Los_Tuxtlas,TROP_RF,Casearia sylvestris,T,E,,,N,,1.80,,,-1.074,-1.276,,,,,,,,,,
115,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cecropia obtusifolia,T,E,,,N,,1.89,0.344,0.238,-0.914,-1.020,,,,,,,,,,
120,Bongers_et_al_Los_Tuxtlas,TROP_RF,Chamaedorea alternans,T,E,,,N,,1.62,0.080,-0.299,-0.850,-1.230,,,,,,,,,,
124,Bongers_et_al_Los_Tuxtlas,TROP_RF,Chamaedorea pinnatifrons,T,E,,,N,,1.61,0.247,-0.141,-0.684,-1.072,,,,,,,,,,
133,Bongers_et_al_Los_Tuxtlas,TROP_RF,Clarisia biflora,T,E,,,N,,2.03,0.322,0.354,-0.944,-0.912,,,,,,,,,,
140,Bongers_et_al_Los_Tuxtlas,TROP_RF,Coccoloba hondurensis,T,E,,,N,,2.02,,,-1.032,-1.016,,,,,,,,,,
146,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cordia megalantha,T,D,,,N,,1.93,0.329,0.263,-0.864,-0.930,,,,,,,,,,
155,Bongers_et_al_Los_Tuxtlas,TROP_RF,Croton schiedeanus,T,E,,,N,,1.82,0.282,0.100,-0.814,-0.996,,,,,,,,,,
156,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cupania dentata,T,E,,,N,,2.06,0.177,0.237,-1.016,-0.955,,,,,,,,,,
